epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,987.505,0.43768,0.26199,0.84523,0.98581,0.98611,0.99011,0.87311,0.65355,0.27588,0.88589,0.000210408,0.000210408,0.000210408
89,998.679,0.43375,0.25156,0.84764,0.98546,0.98611,0.99018,0.88251,0.59832,0.26632,0.87681,0.000180383,0.000180383,0.000180383
90,1009.81,0.42911,0.24742,0.83283,0.99244,0.98611,0.99018,0.87877,0.60177,0.26554,0.87732,0.00015265,0.00015265,0.00015265
91,1020.88,0.43029,0.24324,0.84277,0.99315,0.98611,0.99018,0.90359,0.54626,0.2524,0.86763,0.000127236,0.000127236,0.000127236
92,1032.04,0.42332,0.24156,0.84496,0.98601,0.98441,0.99011,0.89381,0.57497,0.25771,0.87176,0.000104167,0.000104167,0.000104167
93,1043.07,0.42905,0.24041,0.84182,0.98588,0.9817,0.99011,0.88699,0.59072,0.26217,0.87429,8.34636e-05,8.34636e-05,8.34636e-05
94,1054.09,0.42763,0.24485,0.84549,0.98593,0.98133,0.99011,0.87959,0.62281,0.26772,0.87877,6.51479e-05,6.51479e-05,6.51479e-05
95,1065.11,0.41618,0.24156,0.84421,0.98596,0.98133,0.99011,0.87573,0.643,0.26933,0.88238,4.92376e-05,4.92376e-05,4.92376e-05
96,1076.01,0.42159,0.24005,0.83872,0.986,0.98271,0.99011,0.88015,0.6215,0.26518,0.87774,3.57484e-05,3.57484e-05,3.57484e-05
97,1087.18,0.41675,0.23633,0.8489,0.9861,0.98243,0.99011,0.88155,0.60253,0.26111,0.87481,2.46935e-05,2.46935e-05,2.46935e-05
98,1098.28,0.40876,0.2406,0.84518,0.98607,0.98129,0.99011,0.87995,0.61418,0.26455,0.87596,1.6084e-05,1.6084e-05,1.6084e-05
99,1109.21,0.41177,0.23522,0.84615,0.98607,0.98085,0.99011,0.88046,0.61752,0.26539,0.87658,9.92825e-06,9.92825e-06,9.92825e-06
100,1120.17,0.41464,0.23967,0.84702,0.98608,0.98078,0.99011,0.88122,0.61156,0.26455,0.876,6.23237e-06,6.23237e-06,6.23237e-06
